id,date,text,user,likes,retweets,sentiment,product
1000000000000000000,2025-06-25 17:31:22,Is anyone else having issues with the OnePlus 12?,user_6281,409,96,0.205,OnePlus 12
1000000000000000001,2025-06-28 17:31:22,The OnePlus 12 camera quality is insane.,user_4506,312,50,0.245,OnePlus 12
1000000000000000002,2025-06-23 17:31:22,Is anyone else having issues with the OnePlus 12?,user_2679,385,29,-0.114,OnePlus 12
1000000000000000003,2025-06-19 17:31:22,Absolutely loving my new OnePlus 12!,user_7214,251,27,0.289,OnePlus 12
1000000000000000004,2025-06-10 17:31:22,Not happy with the OnePlus 12 battery life.,user_5263,360,23,-0.887,OnePlus 12
1000000000000000005,2025-06-28 17:31:22,Not happy with the OnePlus 12 battery life.,user_9394,169,58,0.118,OnePlus 12
1000000000000000006,2025-06-04 17:31:22,Is anyone else having issues with the OnePlus 12?,user_1813,159,6,0.521,OnePlus 12
1000000000000000007,2025-06-01 17:31:22,Unboxing my OnePlus 12 today!,user_4296,53,86,-0.297,OnePlus 12
1000000000000000008,2025-06-01 17:31:22,Best phone ever: OnePlus 12,user_5802,254,26,0.928,OnePlus 12
1000000000000000009,2025-06-18 17:31:22,Is anyone else having issues with the OnePlus 12?,user_5845,395,97,-0.801,OnePlus 12
1000000000000000010,2025-06-20 17:31:22,The OnePlus 12 is totally worth the price.,user_2171,390,64,-0.889,OnePlus 12
1000000000000000011,2025-06-13 17:31:22,Absolutely loving my new OnePlus 12!,user_8568,495,30,-0.557,OnePlus 12
1000000000000000012,2025-06-30 17:31:22,Worst experience with OnePlus 12 so far.,user_8855,335,76,0.729,OnePlus 12
1000000000000000013,2025-06-18 17:31:22,The OnePlus 12 camera quality is insane.,user_4648,212,28,-0.584,OnePlus 12
1000000000000000014,2025-06-27 17:31:22,Is anyone else having issues with the OnePlus 12?,user_7303,180,41,0.469,OnePlus 12
1000000000000000015,2025-06-10 17:31:22,Absolutely loving my new OnePlus 12!,user_6157,463,19,-0.875,OnePlus 12
1000000000000000016,2025-06-17 17:31:22,The OnePlus 12 is totally worth the price.,user_7947,421,78,0.76,OnePlus 12
1000000000000000017,2025-06-16 17:31:22,Best phone ever: OnePlus 12,user_6141,142,3,0.654,OnePlus 12
1000000000000000018,2025-06-12 17:31:22,Absolutely loving my new OnePlus 12!,user_5475,28,74,0.568,OnePlus 12
1000000000000000019,2025-06-15 17:31:22,Not happy with the OnePlus 12 battery life.,user_5593,218,28,-0.38,OnePlus 12
1000000000000000020,2025-06-26 17:31:22,Thinking of switching to the OnePlus 12.,user_9741,435,97,0.185,OnePlus 12
1000000000000000021,2025-06-18 17:31:22,Is anyone else having issues with the OnePlus 12?,user_8286,130,46,-0.952,OnePlus 12
1000000000000000022,2025-06-05 17:31:22,The OnePlus 12 camera quality is insane.,user_9450,162,74,-0.113,OnePlus 12
1000000000000000023,2025-06-12 17:31:22,Thinking of switching to the OnePlus 12.,user_1772,119,71,0.108,OnePlus 12
1000000000000000024,2025-06-21 17:31:22,Best phone ever: OnePlus 12,user_5223,302,80,-0.451,OnePlus 12
1000000000000000025,2025-06-06 17:31:22,Thinking of switching to the OnePlus 12.,user_8133,127,97,0.795,OnePlus 12
1000000000000000026,2025-06-08 17:31:22,The OnePlus 12 camera quality is insane.,user_1262,392,75,-0.616,OnePlus 12
1000000000000000027,2025-06-28 17:31:22,Is anyone else having issues with the OnePlus 12?,user_2410,88,19,0.867,OnePlus 12
1000000000000000028,2025-06-22 17:31:22,The OnePlus 12 is totally worth the price.,user_6343,460,99,-0.751,OnePlus 12
1000000000000000029,2025-06-28 17:31:22,Is anyone else having issues with the OnePlus 12?,user_9158,325,63,-0.401,OnePlus 12
1000000000000000030,2025-06-16 17:31:22,Not happy with the OnePlus 12 battery life.,user_4966,79,25,0.524,OnePlus 12
1000000000000000031,2025-06-17 17:31:22,The OnePlus 12 camera quality is insane.,user_7720,266,39,0.507,OnePlus 12
1000000000000000032,2025-06-17 17:31:22,Thinking of switching to the OnePlus 12.,user_2866,408,81,-0.177,OnePlus 12
1000000000000000033,2025-06-22 17:31:22,The OnePlus 12 camera quality is insane.,user_8944,424,96,-0.903,OnePlus 12
1000000000000000034,2025-06-20 17:31:22,The OnePlus 12 camera quality is insane.,user_2936,302,27,0.544,OnePlus 12
1000000000000000035,2025-06-15 17:31:22,The OnePlus 12 camera quality is insane.,user_4300,227,14,0.345,OnePlus 12
1000000000000000036,2025-06-01 17:31:22,Is anyone else having issues with the OnePlus 12?,user_5474,403,59,-0.929,OnePlus 12
1000000000000000037,2025-06-04 17:31:22,I just bought the OnePlus 12 and it's amazing!,user_1103,227,85,-0.5,OnePlus 12
1000000000000000038,2025-06-24 17:31:22,Unboxing my OnePlus 12 today!,user_3884,481,20,-0.828,OnePlus 12
1000000000000000039,2025-06-02 17:31:22,The OnePlus 12 is totally worth the price.,user_9007,60,18,-0.309,OnePlus 12
1000000000000000040,2025-06-08 17:31:22,I just bought the OnePlus 12 and it's amazing!,user_2969,164,82,0.229,OnePlus 12
1000000000000000041,2025-06-27 17:31:22,Not happy with the OnePlus 12 battery life.,user_5348,488,72,-0.713,OnePlus 12
1000000000000000042,2025-06-08 17:31:22,Unboxing my OnePlus 12 today!,user_7301,245,52,0.72,OnePlus 12
1000000000000000043,2025-06-27 17:31:22,The OnePlus 12 camera quality is insane.,user_9246,282,43,-0.862,OnePlus 12
1000000000000000044,2025-06-04 17:31:22,Not happy with the OnePlus 12 battery life.,user_7768,241,87,-0.783,OnePlus 12
1000000000000000045,2025-06-29 17:31:22,Is anyone else having issues with the OnePlus 12?,user_8796,462,10,0.188,OnePlus 12
1000000000000000046,2025-06-28 17:31:22,The OnePlus 12 camera quality is insane.,user_6288,137,98,-0.336,OnePlus 12
