id,date,text,user,likes,retweets,sentiment,product
1000000000000000000,2025-06-16 17:31:22,Best phone ever: Nothing Phone,user_4606,123,67,-0.117,Nothing Phone
1000000000000000001,2025-06-03 17:31:22,Worst experience with Nothing Phone so far.,user_9551,66,23,-0.498,Nothing Phone
1000000000000000002,2025-06-25 17:31:22,Not happy with the Nothing Phone battery life.,user_5591,95,65,0.408,Nothing Phone
1000000000000000003,2025-06-12 17:31:22,Best phone ever: Nothing Phone,user_8425,33,46,-0.637,Nothing Phone
1000000000000000004,2025-06-08 17:31:22,The Nothing Phone camera quality is insane.,user_7862,94,85,-0.662,Nothing Phone
1000000000000000005,2025-06-24 17:31:22,Thinking of switching to the Nothing Phone.,user_7702,164,56,-0.006,Nothing Phone
1000000000000000006,2025-06-13 17:31:22,Is anyone else having issues with the Nothing Phone?,user_6883,290,71,0.624,Nothing Phone
1000000000000000007,2025-06-13 17:31:22,Is anyone else having issues with the Nothing Phone?,user_7013,172,74,0.769,Nothing Phone
1000000000000000008,2025-06-09 17:31:22,I just bought the Nothing Phone and it's amazing!,user_8268,242,94,-0.29,Nothing Phone
1000000000000000009,2025-06-22 17:31:22,Not happy with the Nothing Phone battery life.,user_1918,307,58,-0.359,Nothing Phone
1000000000000000010,2025-06-21 17:31:22,Not happy with the Nothing Phone battery life.,user_7403,365,23,0.38,Nothing Phone
1000000000000000011,2025-06-03 17:31:22,Unboxing my Nothing Phone today!,user_8793,412,57,0.681,Nothing Phone
1000000000000000012,2025-06-13 17:31:22,The Nothing Phone camera quality is insane.,user_4684,39,29,0.225,Nothing Phone
1000000000000000013,2025-06-28 17:31:22,Unboxing my Nothing Phone today!,user_1229,239,6,-0.997,Nothing Phone
1000000000000000014,2025-06-17 17:31:22,Is anyone else having issues with the Nothing Phone?,user_4285,453,19,-0.799,Nothing Phone
1000000000000000015,2025-06-11 17:31:22,Best phone ever: Nothing Phone,user_5254,231,24,-0.421,Nothing Phone
1000000000000000016,2025-06-07 17:31:22,Is anyone else having issues with the Nothing Phone?,user_5429,41,57,-0.595,Nothing Phone
1000000000000000017,2025-06-25 17:31:22,Thinking of switching to the Nothing Phone.,user_4850,392,65,0.733,Nothing Phone
1000000000000000018,2025-06-27 17:31:22,The Nothing Phone is totally worth the price.,user_8385,69,71,-0.687,Nothing Phone
1000000000000000019,2025-06-10 17:31:22,Absolutely loving my new Nothing Phone!,user_1901,191,36,0.971,Nothing Phone
1000000000000000020,2025-06-07 17:31:22,Unboxing my Nothing Phone today!,user_6031,404,15,-0.151,Nothing Phone
1000000000000000021,2025-06-12 17:31:22,Unboxing my Nothing Phone today!,user_4028,355,15,-0.253,Nothing Phone
1000000000000000022,2025-06-15 17:31:22,Best phone ever: Nothing Phone,user_3666,43,33,-0.19,Nothing Phone
1000000000000000023,2025-06-26 17:31:22,Absolutely loving my new Nothing Phone!,user_6128,51,54,-0.049,Nothing Phone
1000000000000000024,2025-06-24 17:31:22,Not happy with the Nothing Phone battery life.,user_2190,274,65,0.495,Nothing Phone
1000000000000000025,2025-06-23 17:31:22,Thinking of switching to the Nothing Phone.,user_8073,396,45,0.933,Nothing Phone
1000000000000000026,2025-06-07 17:31:22,Is anyone else having issues with the Nothing Phone?,user_2030,262,78,0.424,Nothing Phone
1000000000000000027,2025-06-15 17:31:22,Worst experience with Nothing Phone so far.,user_4701,391,52,0.693,Nothing Phone
1000000000000000028,2025-06-12 17:31:22,Best phone ever: Nothing Phone,user_1645,232,8,-0.711,Nothing Phone
1000000000000000029,2025-06-24 17:31:22,The Nothing Phone is totally worth the price.,user_6357,359,17,0.119,Nothing Phone
1000000000000000030,2025-06-25 17:31:22,Is anyone else having issues with the Nothing Phone?,user_6918,286,3,0.318,Nothing Phone
1000000000000000031,2025-06-25 17:31:22,The Nothing Phone camera quality is insane.,user_8187,68,40,-0.059,Nothing Phone
1000000000000000032,2025-06-29 17:31:22,The Nothing Phone is totally worth the price.,user_9023,201,79,0.719,Nothing Phone
1000000000000000033,2025-06-01 17:31:22,Absolutely loving my new Nothing Phone!,user_2959,352,34,-0.277,Nothing Phone
1000000000000000034,2025-06-17 17:31:22,Thinking of switching to the Nothing Phone.,user_6276,489,52,0.438,Nothing Phone
1000000000000000035,2025-06-30 17:31:22,Absolutely loving my new Nothing Phone!,user_6430,88,100,0.6,Nothing Phone
1000000000000000036,2025-05-31 17:31:22,The Nothing Phone is totally worth the price.,user_5890,3,31,-0.845,Nothing Phone
